Epoch,Loss,Total,Valid,Valid_rate,Unique,Unique_rate,Similarity
249,0.005,1376,1234,89.68,951,77.07,0.240
250,0.005,1376,1228,89.24,939,76.47,0.245
251,0.005,1376,1229,89.32,964,78.44,0.244
252,0.006,1376,1226,89.10,970,79.12,0.249
253,0.005,1376,1259,91.50,993,78.87,0.248
254,0.005,1376,1226,89.10,985,80.34,0.245
255,0.006,1376,1243,90.33,989,79.57,0.243
256,0.006,1376,1220,88.66,955,78.28,0.247
257,0.006,1376,1197,86.99,955,79.78,0.251
258,0.006,1376,1204,87.50,937,77.82,0.244
259,0.005,1376,1229,89.32,960,78.11,0.253
260,0.005,1376,1219,88.59,953,78.18,0.245
261,0.006,1376,1236,89.83,958,77.51,0.248
262,0.006,1376,1191,86.56,956,80.27,0.248
263,0.006,1376,1232,89.53,982,79.71,0.246
264,0.005,1376,1216,88.37,944,77.63,0.246
265,0.005,1376,1211,88.01,943,77.87,0.247
266,0.005,1376,1244,90.41,990,79.58,0.242
267,0.006,1376,1234,89.68,957,77.55,0.244
268,0.006,1376,1227,89.17,949,77.34,0.253
269,0.005,1376,1222,88.81,967,79.13,0.246
270,0.005,1376,1235,89.75,950,76.92,0.244
271,0.006,1376,1230,89.39,962,78.21,0.248
272,0.007,1376,1205,87.57,947,78.59,0.243
273,0.011,1376,1206,87.65,961,79.68,0.245
274,0.008,1376,1233,89.61,970,78.67,0.242
275,0.007,1376,1224,88.95,953,77.86,0.252
276,0.005,1376,1239,90.04,964,77.80,0.248
277,0.005,1376,1233,89.61,958,77.70,0.243
278,0.004,1376,1236,89.83,946,76.54,0.245
279,0.004,1376,1222,88.81,934,76.43,0.248
280,0.004,1376,1237,89.90,928,75.02,0.244
281,0.004,1376,1256,91.28,968,77.07,0.250
282,0.004,1376,1231,89.46,974,79.12,0.249
283,0.004,1376,1247,90.62,963,77.23,0.245
284,0.005,1376,1235,89.75,978,79.19,0.251
285,0.006,1376,1214,88.23,955,78.67,0.248
286,0.006,1376,1218,88.52,956,78.49,0.248
287,0.006,1376,1228,89.24,964,78.50,0.242
288,0.007,1376,1238,89.97,971,78.43,0.241
289,0.009,1376,1236,89.83,956,77.35,0.246
290,0.007,1376,1234,89.68,980,79.42,0.243
291,0.006,1376,1236,89.83,959,77.59,0.246
292,0.005,1376,1233,89.61,1001,81.18,0.243
293,0.005,1376,1234,89.68,982,79.58,0.241
294,0.005,1376,1242,90.26,986,79.39,0.243
295,0.005,1376,1241,90.19,964,77.68,0.246
296,0.005,1376,1229,89.32,971,79.01,0.252
297,0.005,1376,1245,90.48,964,77.43,0.247
298,0.005,1376,1238,89.97,976,78.84,0.248
299,0.005,1376,1240,90.12,978,78.87,0.245
300,0.007,1376,1228,89.24,960,78.18,0.245
301,0.007,1376,1217,88.44,961,78.96,0.243
302,0.006,1376,1241,90.19,981,79.05,0.244
303,0.006,1376,1237,89.90,981,79.30,0.251
304,0.006,1376,1235,89.75,965,78.14,0.247
305,0.006,1376,1251,90.92,969,77.46,0.248
306,0.005,1376,1228,89.24,959,78.09,0.246
307,0.006,1376,1249,90.77,991,79.34,0.248
308,0.005,1376,1242,90.26,965,77.70,0.253
309,0.005,1376,1234,89.68,977,79.17,0.246
310,0.005,1376,1241,90.19,962,77.52,0.245
311,0.005,1376,1221,88.74,952,77.97,0.252
312,0.007,1376,1216,88.37,942,77.47,0.249
313,0.007,1376,1241,90.19,970,78.16,0.249
314,0.006,1376,1229,89.32,966,78.60,0.248
315,0.005,1376,1241,90.19,952,76.71,0.244
316,0.006,1376,1239,90.04,974,78.61,0.247
317,0.005,1376,1230,89.39,970,78.86,0.246
318,0.005,1376,1214,88.23,961,79.16,0.241
319,0.006,1376,1230,89.39,967,78.62,0.250
320,0.006,1376,1244,90.41,964,77.49,0.243
321,0.006,1376,1243,90.33,987,79.40,0.241
322,0.005,1376,1250,90.84,992,79.36,0.243
323,0.006,1376,1234,89.68,988,80.06,0.242
324,0.005,1376,1223,88.88,963,78.74,0.248
325,0.005,1376,1239,90.04,939,75.79,0.248
326,0.005,1376,1227,89.17,961,78.32,0.244
327,0.005,1376,1229,89.32,964,78.44,0.245
328,0.005,1376,1229,89.32,963,78.36,0.249
329,0.005,1376,1231,89.46,938,76.20,0.245
330,0.005,1376,1222,88.81,956,78.23,0.246
331,0.005,1376,1207,87.72,975,80.78,0.245
332,0.005,1376,1238,89.97,965,77.95,0.244
333,0.005,1376,1226,89.10,961,78.38,0.249
334,0.006,1376,1242,90.26,986,79.39,0.247
335,0.006,1376,1230,89.39,946,76.91,0.249
336,0.006,1376,1242,90.26,961,77.38,0.248
337,0.005,1376,1241,90.19,959,77.28,0.244
338,0.005,1376,1238,89.97,960,77.54,0.250
339,0.006,1376,1230,89.39,969,78.78,0.245
340,0.006,1376,1228,89.24,962,78.34,0.244
341,0.006,1376,1248,90.70,994,79.65,0.242
342,0.006,1376,1236,89.83,998,80.74,0.243
343,0.005,1376,1247,90.62,970,77.79,0.243
344,0.005,1376,1260,91.57,991,78.65,0.241
345,0.005,1376,1238,89.97,993,80.21,0.250
346,0.005,1376,1239,90.04,970,78.29,0.246
347,0.005,1376,1208,87.79,960,79.47,0.244
348,0.005,1376,1228,89.24,961,78.26,0.248
349,0.005,1376,1215,88.30,927,76.30,0.246
350,0.005,1376,1234,89.68,978,79.25,0.244
351,0.006,1376,1222,88.81,954,78.07,0.247
352,0.005,1376,1241,90.19,987,79.53,0.241
353,0.005,1376,1232,89.53,994,80.68,0.243
354,0.006,1376,1226,89.10,960,78.30,0.246
355,0.006,1376,1230,89.39,962,78.21,0.243
356,0.006,1376,1231,89.46,983,79.85,0.249
357,0.006,1376,1242,90.26,972,78.26,0.247
358,0.005,1376,1233,89.61,964,78.18,0.245
359,0.005,1376,1240,90.12,972,78.39,0.246
360,0.005,1376,1217,88.44,965,79.29,0.244
361,0.005,1376,1236,89.83,962,77.83,0.250
362,0.005,1376,1239,90.04,987,79.66,0.247
363,0.005,1376,1232,89.53,983,79.79,0.250
364,0.005,1376,1234,89.68,987,79.98,0.249
365,0.005,1376,1229,89.32,978,79.58,0.247
366,0.005,1376,1236,89.83,981,79.37,0.241
367,0.005,1376,1237,89.90,976,78.90,0.242
368,0.006,1376,1213,88.15,950,78.32,0.251
369,0.007,1376,1230,89.39,980,79.67,0.249
370,0.007,1376,1233,89.61,966,78.35,0.249
371,0.007,1376,1215,88.30,959,78.93,0.243
372,0.006,1376,1236,89.83,984,79.61,0.245
373,0.006,1376,1245,90.48,968,77.75,0.245
374,0.005,1376,1215,88.30,943,77.61,0.244
375,0.005,1376,1236,89.83,979,79.21,0.248
376,0.005,1376,1226,89.10,966,78.79,0.249
377,0.005,1376,1227,89.17,955,77.83,0.245
378,0.005,1376,1232,89.53,959,77.84,0.244
379,0.005,1376,1216,88.37,948,77.96,0.245
380,0.005,1376,1239,90.04,978,78.93,0.253
381,0.005,1376,1225,89.03,970,79.18,0.248
382,0.005,1376,1242,90.26,984,79.23,0.247
383,0.005,1376,1236,89.83,958,77.51,0.248
384,0.005,1376,1246,90.55,977,78.41,0.247
385,0.005,1376,1253,91.06,996,79.49,0.249
386,0.006,1376,1228,89.24,952,77.52,0.250
387,0.006,1376,1231,89.46,980,79.61,0.250
388,0.006,1376,1229,89.32,961,78.19,0.249
389,0.006,1376,1232,89.53,974,79.06,0.245
390,0.005,1376,1245,90.48,984,79.04,0.247
391,0.005,1376,1251,90.92,967,77.30,0.246
392,0.006,1376,1235,89.75,975,78.95,0.251
393,0.005,1376,1231,89.46,961,78.07,0.249
394,0.005,1376,1239,90.04,974,78.61,0.247
395,0.005,1376,1233,89.61,970,78.67,0.250
396,0.005,1376,1240,90.12,967,77.98,0.247
397,0.005,1376,1246,90.55,981,78.73,0.252
398,0.005,1376,1229,89.32,976,79.41,0.251
399,0.005,1376,1235,89.75,980,79.35,0.246
400,0.005,1376,1229,89.32,967,78.68,0.248
401,0.006,1376,1232,89.53,972,78.90,0.253
402,0.006,1376,1238,89.97,976,78.84,0.254
403,0.006,1376,1213,88.15,936,77.16,0.251
404,0.007,1376,1234,89.68,984,79.74,0.249
405,0.006,1376,1232,89.53,954,77.44,0.248
406,0.005,1376,1230,89.39,946,76.91,0.247
407,0.005,1376,1241,90.19,999,80.50,0.249
408,0.005,1376,1217,88.44,958,78.72,0.252
409,0.005,1376,1230,89.39,975,79.27,0.255
410,0.005,1376,1240,90.12,985,79.44,0.257
411,0.005,1376,1213,88.15,919,75.76,0.255
412,0.005,1376,1230,89.39,982,79.84,0.255
413,0.005,1376,1244,90.41,966,77.65,0.249
414,0.005,1376,1251,90.92,969,77.46,0.248
415,0.005,1376,1250,90.84,978,78.24,0.249
416,0.006,1376,1254,91.13,1007,80.30,0.249
417,0.006,1376,1235,89.75,979,79.27,0.248
418,0.006,1376,1225,89.03,961,78.45,0.245
419,0.006,1376,1239,90.04,989,79.82,0.246
420,0.006,1376,1229,89.32,943,76.73,0.241
421,0.006,1376,1252,90.99,987,78.83,0.245
422,0.006,1376,1256,91.28,975,77.63,0.243
423,0.005,1376,1260,91.57,993,78.81,0.238
424,0.005,1376,1243,90.33,954,76.75,0.246
425,0.005,1376,1250,90.84,993,79.44,0.249
426,0.005,1376,1232,89.53,979,79.46,0.243
427,0.005,1376,1236,89.83,945,76.46,0.246
428,0.005,1376,1208,87.79,933,77.24,0.248
429,0.006,1376,1235,89.75,959,77.65,0.249
430,0.006,1376,1245,90.48,993,79.76,0.246
431,0.007,1376,1240,90.12,988,79.68,0.244
432,0.007,1376,1223,88.88,952,77.84,0.255
433,0.007,1376,1229,89.32,988,80.39,0.250
434,0.007,1376,1251,90.92,963,76.98,0.249
435,0.007,1376,1257,91.35,972,77.33,0.257
436,0.008,1376,1224,88.95,964,78.76,0.253
437,0.008,1376,1245,90.48,982,78.88,0.254
438,0.007,1376,1235,89.75,966,78.22,0.247
439,0.007,1376,1236,89.83,993,80.34,0.255
440,0.007,1376,1241,90.19,972,78.32,0.251
441,0.007,1376,1249,90.77,986,78.94,0.248
442,0.007,1376,1233,89.61,981,79.56,0.255
443,0.007,1376,1224,88.95,957,78.19,0.252
444,0.006,1376,1255,91.21,991,78.96,0.249
445,0.006,1376,1227,89.17,941,76.69,0.254
446,0.005,1376,1231,89.46,957,77.74,0.252
447,0.006,1376,1238,89.97,980,79.16,0.249
448,0.006,1376,1223,88.88,951,77.76,0.247
449,0.006,1376,1227,89.17,976,79.54,0.246
450,0.006,1376,1237,89.90,970,78.42,0.245
451,0.006,1376,1255,91.21,962,76.65,0.249
452,0.006,1376,1261,91.64,980,77.72,0.247
453,0.006,1376,1240,90.12,966,77.90,0.245
454,0.006,1376,1232,89.53,964,78.25,0.247
455,0.007,1376,1250,90.84,976,78.08,0.247
456,0.007,1376,1259,91.50,1003,79.67,0.246
457,0.007,1376,1238,89.97,972,78.51,0.247
458,0.006,1376,1237,89.90,970,78.42,0.245
459,0.006,1376,1253,91.06,988,78.85,0.240
460,0.006,1376,1236,89.83,955,77.27,0.246
461,0.006,1376,1234,89.68,963,78.04,0.249
462,0.006,1376,1253,91.06,983,78.45,0.250
463,0.007,1376,1244,90.41,995,79.98,0.246
464,0.006,1376,1248,90.70,988,79.17,0.241
465,0.006,1376,1240,90.12,988,79.68,0.245
466,0.006,1376,1235,89.75,985,79.76,0.246
467,0.006,1376,1238,89.97,987,79.73,0.246
468,0.006,1376,1237,89.90,966,78.09,0.252
469,0.005,1376,1248,90.70,992,79.49,0.249
470,0.005,1376,1251,90.92,984,78.66,0.245
471,0.005,1376,1236,89.83,961,77.75,0.247
472,0.005,1376,1249,90.77,984,78.78,0.247
473,0.005,1376,1244,90.41,981,78.86,0.249
474,0.006,1376,1229,89.32,984,80.07,0.250
475,0.006,1376,1240,90.12,975,78.63,0.251
476,0.006,1376,1238,89.97,981,79.24,0.251
477,0.006,1376,1246,90.55,979,78.57,0.248
478,0.006,1376,1227,89.17,970,79.05,0.256
479,0.006,1376,1242,90.26,988,79.55,0.245
480,0.006,1376,1240,90.12,981,79.11,0.247
